Transcript Chunk,Comment
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,congratulations to gukesh the youngest world champion in history
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,congratulations gukesh
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,congratulations gukesh a marvelous achievement
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,congrats gukesh :india:
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,made us proud big brains congratulations
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,congratulations you made us proud bharat is reclaiming its heritage
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,so proud of gukesh the champion guki :trophy::partypopper:
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,excellent win for a young man congratulations gukesh and in inspiration
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,congratulations to gukesh the youngest world champion in history
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,congratulations gukesh
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,congratulations gukesh a marvelous achievement
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,congrats gukesh :india:
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,made us proud big brains congratulations
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,congratulations you made us proud bharat is reclaiming its heritage
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,so proud of gukesh the champion guki :trophy::partypopper:
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
his seat and watched Carlson win the title but nearly a decade later that same gkes has returned the glory to India and marked the peak of his own career which has already witnessed a long string of achievements gukesh became a grandm at the age of 12 he has won the candidates he has dominated the olympiads by winning individual goals in the,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,excellent win for a young man congratulations gukesh and in inspiration
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,congratulations to gukesh the youngest world champion in history
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,congratulations gukesh
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,congratulations gukesh a marvelous achievement
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,congrats gukesh :india:
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,made us proud big brains congratulations
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,congratulations you made us proud bharat is reclaiming its heritage
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,so proud of gukesh the champion guki :trophy::partypopper:
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
he has won the candidates he has dominated the olympiads by winning individual goals in the last two and now is the ultimate victory for this Prodigy was earned the 2.5 million prize fund and received a flood of congratulations including from prime minister Narendra Modi who called gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,excellent win for a young man congratulations gukesh and in inspiration
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,congratulations to gukesh the youngest world champion in history
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,congratulations gukesh
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,congratulations gukesh a marvelous achievement
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,congrats gukesh :india:
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,made us proud big brains congratulations
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,congratulations you made us proud bharat is reclaiming its heritage
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,so proud of gukesh the champion guki :trophy::partypopper:
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
gkes and Im quoting an inspiration for millions of young minds but not everyone is impressed Carlson for one has criticized gks performance saying that it is hard to understate how bad this was from gkes but gkes does not mind the criticism in fact he says and Im quoting it kinds of fires me up now that is D gukesh for you he,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,excellent win for a young man congratulations gukesh and in inspiration
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,congratulations to gukesh the youngest world champion in history
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,congratulations gukesh
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,congratulations gukesh a marvelous achievement
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,congrats gukesh :india:
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,made us proud big brains congratulations
